Country,Year,GDP [million Euro],Population,Emissions_GHG [thousand tonnes CO2eq],Emissions_NOx [tonne],Emissions_PM2.5 [tonne],Emissions_PM10 [tonne],Emissions_SOx [tonne],Emissions_NMVOC [tonne],Emissions_NH3 [tonne],Emissions_Pb [tonne],Emissions_Cd [tonne],Emissions_Hg [tonne],Emissions_As [tonne],Emissions_Ni [tonne],Emissions_Cr [tonne]
United Kingdom,1995,1025809.9,57943472,755704.57,2663020,192970,294630,2546540,2334200,298260,1563,12,20,37,361,132
Belgium,1996,219965.3,10143047,154827.76,400910,43470,59680,247610,297470,135280,210,4,3,6,84,33
Bulgaria,1996,9829.8,8384715,55146.31,178650,22340,45910,1271170,131580,60980,362,4,2,18,33,10
Czechia,1996,53088.1,10321344,151023.61,369060,120990,162760,914440,391190,117320,266,2,4,9,25,17
Denmark,1996,147843.4,5251027,96846.1,324090,24200,35570,176170,214360,104670,25,1,2,1,14,4
Germany,1996,1967956.2,81817499,1105254.91,2113640,193760,330150,1484160,2243120,622650,539,20,20,9,195,87
Estonia,1996,3770,1425192,17877.33,53080,19180,43680,126060,42030,9340,69,1,1,10,11,10
Ireland,1996,59701.5,3620065,67634.27,175360,23690,38950,150090,137230,119840,83,1,1,2,25,5
Greece,1996,114908.2,10588332,110238.47,409080,65530,91570,514220,309120,79420,401,8,2,3,47,7
Spain,1996,506362.6,39808374,287059.83,1316120,173820,251250,1550430,977960,472270,821,24,11,14,160,30
France,1996,1265105.4,59522297,522218.87,1841340,409360,519970,924970,2416840,652650,1289,17,20,17,221,182
Croatia,1996,19230.3,4581167,15161.26,87970,40310,50790,61820,122550,43020,209,1,0,1,13,3
Italy,1996,1033759.7,56844197,502823.91,1915830,214970,275290,1213270,2007360,445650,1887,10,14,26,109,50
Cyprus,1996,7890.1,656333,7048.88,21000,2610,5000,41640,13350,9530,26,0,0,0,8,0
Latvia,1996,4703.6,2469531,-2369.79,51000,29570,34030,55670,64570,15660,123,1,0,9,11,2
Lithuania,1996,6601.8,3615212,24268.56,77290,8370,10080,76220,84500,38510,4,0,0,0,15,1
Luxembourg,1996,16462.1,411600,9612.06,35080,7570,8800,8780,20040,5890,9,0,0,Not Available,Not Available,Not Available
Hungary,1996,36758.4,10321229,77344.44,195310,53200,75910,612050,202510,79630,114,2,2,3,17,12
Malta,1996,3010.6,378404,2797.32,9790,890,1160,10180,3360,1930,0,0,0,0,5,0
Netherlands,1996,354929.1,15493889,246557.07,548980,42170,57740,123710,405930,222390,105,3,1,1,71,7
Austria,1996,186968.1,7953067,71841.66,215960,25280,38930,43940,238760,62700,20,1,1,0,0,0
Poland,1996,126200.8,38609399,424232.47,1110090,256070,451630,2107100,930390,367890,580,11,14,59,176,53
Portugal,1996,96626.8,10043693,58058.42,270870,71030,101030,262890,239920,74220,321,3,3,3,92,12
Romania,1996,29035.4,22656145,158844.76,392430,109660,151910,698710,314150,249110,344,5,3,36,70,20
Slovenia,1996,16946.1,1990266,13597.71,75490,13700,16630,115910,65470,20690,11,1,0,1,3,1
Slovakia,1996,17053.2,5367790,42570,108570,47030,57210,117860,172780,39170,48,1,2,2,4,5
Finland,1996,104142.2,5116826,57442.23,277450,31640,50230,109080,195660,34470,49,2,1,9,37,33
Sweden,1996,229771.3,8837496,38844.1,244940,41320,61190,69150,273700,61180,24,1,1,1,30,11
Norway,1996,128671.9,4369957,39999.55,230440,43940,53070,33640,404770,28740,13,1,1,3,0,12
Switzerland,1996,268398.8,7062354,48052.24,110100,13860,21640,24690,197060,64590,147,2,4,Not Available,Not Available,Not Available
United Kingdom,1996,1114850.1,58094587,775443.32,2570560,190460,294230,2167140,2273290,307980,1327,11,15,36,349,125
Belgium,1997,223032.7,10170226,146814.29,385800,42650,58590,225550,281580,135280,229,4,4,5,64,32
Bulgaria,1997,10064.7,8340936,51813.38,151510,20540,45210,1224410,108370,58330,271,4,2,18,28,9
Czechia,1997,54857.3,10309137,147533.37,339430,95400,126650,694460,370300,109930,250,2,4,6,20,13
Denmark,1997,153152.1,5275121,87788.99,276890,23250,34600,104240,202600,103980,23,1,2,1,13,3
Germany,1997,1952617.8,82012162,1070886.42,2040190,192800,335130,1233550,2188300,615770,411,19,19,9,194,88
Estonia,1997,4553.7,1405996,17478.05,52250,18110,40850,116620,43090,9540,50,1,1,10,10,10
Ireland,1997,73118.8,3654955,68437.32,169840,21750,37980,168970,134910,122980,87,1,1,2,28,5
